2, match, mx, true, 11592, 131
2, match, cm, true, 22002, 132
2, match, gt, true, 7320, 133
2, match, mx, true, 9964, 134
2, match, cm, false, 14008, 135
2, match, gt, true, 9396, 136
2, match, mx, false, 6617, 137
2, match, cm, true, 7078, 138
2, match, gt, true, 7530, 139
2, match, mx, true, 13690, 140
2, match, cm, false, 20944, 141
2, match, gt, false, 9284, 142
2, match, mx, false, 21567, 143
2, match, cm, true, 9522, 144
2, match, gt, true, 9146, 145
2, match, mx, false, 6093, 146
2, match, cm, true, 5414, 147
2, match, gt, true, 15807, 148
2, match, mx, false, 6778, 149
2, match, cm, false, 4162, 150
2, match, gt, true, 5689, 151
2, match, mx, false, 30113, 152
2, match, cm, false, 6751, 153
2, match, gt, true, 5166, 154
2, match, mx, false, 11930, 155
2, match, cm, true, 3813, 156
2, match, gt, true, 8567, 157
2, match, mx, false, 17862, 158
2, match, cm, true, 4454, 159
2, match, gt, true, 6149, 160
2, dense, gt, true, 4593, 81
2, dense, mx, true, 4730, 82
2, dense, cn, true, 2186, 83
2, dense, cm, true, 3932, 84
2, dense, nl, true, 4059, 85
2, dense, gt, true, 2187, 86
2, dense, mx, true, 4532, 87
2, dense, cn, true, 2568, 88
2, dense, cm, true, 1498, 89
2, dense, nl, true, 2090, 90
2, dense, gt, true, 1453, 91
2, dense, mx, true, 1502, 92
2, dense, cn, true, 1170, 93
2, dense, cm, true, 1359, 94
2, dense, nl, true, 1708, 95
2, dense, gt, true, 3181, 96
2, dense, mx, true, 1591, 97
2, dense, cn, true, 2320, 98
2, dense, cm, true, 1391, 99
2, dense, nl, true, 2156, 100
2, dense, gt, true, 1482, 101
2, dense, mx, true, 4616, 102
2, dense, cn, true, 1508, 103
2, dense, cm, true, 2160, 104
2, dense, nl, true, 3511, 105
2, dense, gt, true, 1147, 106
2, dense, mx, true, 3906, 107
2, dense, cn, true, 2297, 108
2, dense, cm, true, 1523, 109
2, dense, nl, true, 3351, 110
2, dense, gt, true, 2297, 111
2, dense, mx, true, 3747, 112
2, dense, cn, true, 1587, 113
2, dense, cm, true, 5457, 114
2, dense, nl, true, 3671, 115
2, dense, gt, true, 1329, 116
2, dense, mx, true, 2069, 117
2, dense, cn, true, 3411, 118
2, dense, cm, true, 1209, 119
2, dense, nl, true, 1591, 120
2, dense, gt, false, 2031, 121
2, dense, mx, true, 6284, 122
2, dense, cn, true, 2349, 123
2, dense, cm, true, 1290, 124
2, dense, nl, true, 1227, 125
2, dense, gt, true, 2255, 126
2, dense, mx, true, 4498, 127
2, dense, cn, true, 1120, 128
2, dense, cm, true, 1311, 129
2, dense, nl, true, 1365, 130
3, 1-connected, mx, true, 7620, 1
3, 1-connected, cn, true, 1582, 2
3, 1-connected, cm, true, 6442, 3
3, 1-connected, nl, true, 2668, 4
3, 1-connected, gt, true, 3978, 5
3, 1-connected, mx, true, 6651, 6
3, 1-connected, cn, true, 1481, 7
3, 1-connected, cm, false, 6390, 8
3, 1-connected, nl, true, 2349, 9
3, 1-connected, gt, true, 1289, 10
3, 1-connected, mx, true, 6606, 11
3, 1-connected, cn, false, 1661, 12
3, 1-connected, cm, false, 7249, 13
3, 1-connected, nl, true, 1320, 14
3, 1-connected, gt, true, 988, 15
3, 1-connected, mx, false, 4274, 16
3, 1-connected, cn, true, 1888, 17
3, 1-connected, cm, false, 8005, 18
3, 1-connected, nl, true, 1534, 19
3, 1-connected, gt, true, 2323, 20
3, 1-connected, mx, false, 10027, 21
3, 1-connected, cn, true, 3888, 22
3, 1-connected, cm, true, 4147, 23
3, 1-connected, nl, true, 1362, 24
3, 1-connected, gt, false, 2207, 25
3, 1-connected, mx, false, 7803, 26
3, 1-connected, cn, true, 2181, 27
3, 1-connected, cm, true, 3587, 28
3, 1-connected, nl, false, 1302, 29
3, 1-connected, gt, true, 1044, 30
3, 1-connected, mx, true, 2204, 31
3, 1-connected, cn, false, 6414, 32
3, 1-connected, cm, true, 7335, 33
3, 1-connected, nl, true, 1144, 34
3, 1-connected, gt, true, 1367, 35
3, 1-connected, mx, true, 2611, 36
3, 1-connected, cn, true, 995, 37
3, 1-connected, cm, true, 5523, 38
3, 1-connected, nl, true, 1154, 39
3, 1-connected, gt, true, 2084, 40
3, 2-connected, cn, true, 5110, 41
3, 2-connected, cm, true, 6684, 42
3, 2-connected, nl, true, 7915, 43
3, 2-connected, gt, true, 4329, 44
3, 2-connected, mx, false, 10013, 45
3, 2-connected, cn, true, 4715, 46
3, 2-connected, cm, true, 4214, 47
3, 2-connected, nl, true, 2969, 48
3, 2-connected, gt, true, 4371, 49
3, 2-connected, mx, false, 9116, 50
3, 2-connected, cn, true, 2337, 51
3, 2-connected, cm, true, 7225, 52
3, 2-connected, nl, true, 7097, 53
3, 2-connected, gt, true, 1800, 54
3, 2-connected, mx, false, 10024, 55
3, 2-connected, cn, false, 10025, 56
3, 2-connected, cm, true, 6466, 57
3, 2-connected, nl, true, 7289, 58
3, 2-connected, gt, false, 4835, 59
3, 2-connected, mx, false, 2234, 60
3, 2-connected, cn, true, 5884, 61
3, 2-connected, cm, true, 6575, 62
3, 2-connected, nl, true, 6748, 63
3, 2-connected, gt, true, 2020, 64
3, 2-connected, mx, false, 5475, 65
3, 2-connected, cn, true, 3184, 66
3, 2-connected, cm, false, 10015, 67
3, 2-connected, nl, true, 3355, 68
3, 2-connected, gt, false, 2356, 69
3, 2-connected, mx, false, 7515, 70
3, 2-connected, cn, true, 4518, 71
3, 2-connected, cm, false, 5361, 72
3, 2-connected, nl, false, 10051, 73
3, 2-connected, gt, false, 3281, 74
3, 2-connected, mx, true, 7303, 75
3, 2-connected, cn, true, 1684, 76
3, 2-connected, cm, false, 7450, 77
3, 2-connected, nl, true, 8423, 78
3, 2-connected, gt, false, 3274, 79
3, 2-connected, mx, false, 4662, 80
3, match, cm, true, 8581, 131
3, match, gt, true, 5143, 132
3, match, mx, true, 10275, 133
3, match, cm, false, 4633, 134
3, match, gt, true, 7508, 135
3, match, mx, true, 7443, 136
3, match, cm, false, 3318, 137
3, match, gt, false, 20917, 138
3, match, mx, false, 4510, 139
3, match, cm, true, 2824, 140
3, match, gt, false, 10358, 141
3, match, mx, false, 14219, 142
3, match, cm, false, 12118, 143
3, match, gt, false, 3186, 144
3, match, mx, true, 3283, 145
3, match, cm, false, 15850, 146
3, match, gt, true, 3518, 147
3, match, mx, false, 9963, 148
3, match, cm, true, 10958, 149
3, match, gt, true, 14059, 150
3, match, mx, false, 8281, 151
3, match, cm, false, 16736, 152
3, match, gt, true, 5964, 153
3, match, mx, true, 6091, 154
3, match, cm, true, 8407, 155
3, match, gt, true, 6340, 156
3, match, mx, false, 7856, 157
3, match, cm, true, 12338, 158
3, match, gt, false, 5455, 159
